Name,Year,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh%,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Brock Boeser,2020,Canucks,RW,82,40,36,76,11,24,11,9,20,0,0,0,5,1,0,0,234,17.1,148,28,14,0.12,65,12,0,0,0,0,0,0,18:19,3:02,1:25,66,55,10,7.66,
Elias Pettersson,2020,Canucks,C/RW,78,34,41,75,18,29,11,21,32,0,0,0,7,2,6,0,171,19.9,141,28,32,0.68,63,12,1,0,0,0,0,0,19:09,3:14,2:32,56,38,9,7.91,
Nikolay Goldobin,2020,Canucks,LW/RW,78,27,40,67,21,8,5,13,18,0,0,0,3,0,5,0,183,14.8,113,13,3,0.00,21,4,0,0,0,0,0,0,16:40,2:53,0:16,60,39,10,7.87,
Bo Horvat,2020,Canucks,C/LW,82,24,41,65,16,63,13,14,27,0,0,0,5,1,3,0,174,13.8,178,28,99,0.58,86,29,1,0,0,0,1,0,18:57,3:18,2:35,61,45,1,7.10,
Quinn Hughes,2020,Canucks,LD/RD,81,10,37,47,17,28,6,14,20,0,2,2,1,0,3,0,222,4.5,100,18,18,0,88,14,0,0,0,0,0,0,20:22,3:17,0:44,71,54,7,7.73,
Sven Bärtschi,2020,Canucks,LW,75,12,28,40,6,24,3,0,3,1,0,1,2,0,3,0,136,8.8,109,16,20,0.00,23,12,0,0,0,0,0,0,14:28,1:07,0:09,49,43,3,7.25,
Jake Virtanen,2020,Canucks,RW,82,16,23,39,-16,121,6,6,12,1,0,1,4,0,3,0,143,11.2,269,21,16,0.10,40,28,3,5,0,0,3,1,14:37,1:35,0:08,40,56,2,7.29,
Brandon Sutter,2020,Canucks,C/RW,73,16,18,34,1,34,1,3,4,1,1,2,3,1,3,0,83,19.3,127,16,64,0.62,81,17,0,0,0,0,0,0,16:01,0:34,2:16,45,44,0,6.44,
Alexander Edler,2020,Canucks,LD/RD,82,6,24,30,10,12,5,12,17,0,0,0,1,0,2,0,215,2.8,265,48,54,0,138,6,0,0,0,0,0,0,24:40,3:24,2:34,73,63,1,7.23,
Chris Tanev,2020,Canucks,RD,82,2,24,26,-9,36,1,1,2,0,0,0,1,0,0,0,79,2.5,102,53,105,0,148,18,0,0,0,0,0,0,22:01,0:09,2:32,65,74,0,6.66,
Adam Gaudette,2020,Canucks,C/RW,35,8,17,25,3,16,3,3,6,0,1,1,1,0,3,0,35,22.9,43,6,18,0.56,23,8,0,0,0,0,0,0,14:44,1:21,0:24,28,25,0,6.66,
Antoine Roussel,2020,Canucks,LW/RW,79,11,13,24,-12,89,0,0,0,0,0,0,2,0,2,0,82,13.4,169,28,19,0.00,55,27,3,2,0,0,3,0,11:47,0:00,0:41,26,38,0,7.05,
Tanner Pearson,2020,Canucks,LW/RW,71,9,11,20,-7,30,0,0,0,0,0,0,2,0,2,0,69,13.0,116,6,13,0.20,29,15,0,0,0,0,0,0,10:46,0:11,0:05,25,32,0,6.66,
Josh Leivo,2020,Canucks,RW/LW,74,10,9,19,-7,15,0,0,0,0,0,0,1,0,2,0,89,11.2,94,14,28,0.14,31,5,1,0,0,0,0,0,10:33,0:00,0:00,26,33,1,6.89,
Victor Söderström,2020,Canucks,RD/LD,68,1,17,18,-2,4,0,7,7,0,0,0,0,0,0,0,68,1.5,50,22,21,0,59,2,0,0,0,0,0,0,16:52,2:10,0:20,41,43,0,6.90,
Loui Eriksson,2020,Canucks,RW/LW,78,7,10,17,-9,16,0,0,0,0,0,0,3,0,1,0,71,9.9,113,23,29,0.22,37,8,0,0,0,0,0,0,10:45,0:00,0:09,24,33,0,6.91,
Ben Hutton,2020,Canucks,LD,46,1,13,14,-3,42,1,5,6,0,0,0,0,0,0,0,66,1.5,78,21,19,0,63,11,0,2,0,0,0,0,19:37,2:07,1:50,31,34,0,6.89,
Olli Määttä,2020,Canucks,LD/RD,50,0,11,11,0,14,0,0,0,0,1,1,0,0,0,0,44,0.0,73,21,35,0,66,7,0,0,0,0,0,0,16:20,0:00,2:12,24,24,1,6.82,
Olli Juolevi,2020,Canucks,LD/RD,32,1,8,9,6,10,0,4,4,0,0,0,0,0,0,0,40,2.5,43,15,7,0,26,5,0,0,0,0,0,0,17:52,2:24,1:18,23,17,0,7.06,
Ryan Carpenter,2020,Canucks,C/RW,10,4,4,8,5,0,1,1,2,0,0,0,0,0,0,0,14,28.6,9,1,3,0.48,5,0,0,0,0,0,0,0,13:43,1:44,0:00,8,3,0,6.90,
Petrus Palmu,2020,Canucks,RW/LW,33,2,6,8,-3,0,0,3,3,0,0,0,0,0,0,0,17,11.8,34,3,2,0.15,17,0,0,0,0,0,0,0,10:45,0:36,0:00,9,12,0,6.64,
Nikita Zadorov,2020,Canucks,LD,43,3,4,7,-17,18,0,1,1,0,0,0,0,1,0,0,41,7.3,124,21,24,0,52,9,0,0,0,0,0,0,18:22,1:15,2:10,24,41,0,6.70,
