League: National Hockey League - Season: 2024-25              ,Date: 12.3.24
--------------------------------------------------------------
Regular Season
--------------------------------------------------------------
Name                                                          ,Team         ,Pos    ,GP,G ,A ,P ,+/-,PIM,PPg ,PPa  ,PPp,SHg,SHa,SHp,GWG ,GT,FG,EN,SOG,Sh  ,HT ,GA,TA,FO  ,SB,2 ,5,Mi,Ma,GM,FI,FW,ATOI ,APPT,APKT,+ ,- ,FS,Av R,
Johnny Gaudreau                                               ,Calgary      ,LW     ,29,16,25,41,15 ,4  ,2   ,8    ,10 ,0  ,1  ,1  ,3   ,1 ,4 ,0 ,96 ,16.7,41 ,8 ,15,0.09,16,2 ,0,0 ,0 ,0 ,0 ,0 ,17:47,2:50,1:06,36,21,4 ,8.38,
Tyler Seguin                                                  ,Dallas       ,C/RW   ,28,18,18,36,20 ,6  ,5   ,3    ,8  ,0  ,0  ,0  ,3   ,2 ,1 ,0 ,89 ,20.2,76 ,11,16,0.61,34,3 ,0,0 ,0 ,0 ,0 ,0 ,19:08,3:18,3:04,33,13,7 ,8.32,
Elias Lindholm                                                ,Calgary      ,RW/C   ,29,18,17,35,17 ,10 ,8   ,2    ,10 ,1  ,0  ,1  ,3   ,0 ,4 ,0 ,103,17.5,69 ,10,14,0.20,23,5 ,0,0 ,0 ,0 ,0 ,0 ,19:25,2:55,3:12,32,15,4 ,8.17,
John Tavares                                                  ,Toronto      ,C      ,30,14,20,34,18 ,6  ,7   ,4    ,11 ,0  ,0  ,0  ,2   ,0 ,4 ,0 ,86 ,16.3,61 ,11,15,0.60,24,3 ,0,0 ,0 ,0 ,0 ,0 ,19:34,3:14,2:33,32,14,2 ,7.80,
Andreas Johnsson                                              ,Toronto      ,LW/RW  ,29,10,24,34,16 ,6  ,2   ,6    ,8  ,0  ,0  ,0  ,0   ,1 ,2 ,0 ,91 ,11.0,58 ,7 ,0 ,0.00,17,3 ,0,0 ,0 ,0 ,0 ,0 ,18:16,3:16,1:49,30,14,1 ,8.17,
Taylor Hall                                                   ,Ottawa       ,LW     ,28,21,12,33,23 ,12 ,2   ,4    ,6  ,0  ,0  ,0  ,5   ,1 ,5 ,0 ,113,18.6,54 ,7 ,10,0.22,10,6 ,0,0 ,0 ,0 ,0 ,0 ,18:59,3:38,0:27,37,14,2 ,8.21,
Mitch Marner                                                  ,Toronto      ,RW     ,23,14,19,33,15 ,8  ,2   ,9    ,11 ,0  ,0  ,0  ,3   ,1 ,2 ,0 ,67 ,20.9,28 ,8 ,4 ,0.00,11,4 ,0,0 ,0 ,0 ,0 ,0 ,18:44,3:22,2:10,26,11,6 ,8.43,
Viktor Arvidsson                                              ,Nashville    ,RW/LW  ,26,17,15,32,16 ,2  ,4   ,6    ,10 ,0  ,0  ,0  ,2   ,0 ,7 ,0 ,87 ,19.5,42 ,5 ,12,0.00,20,1 ,0,0 ,0 ,0 ,0 ,0 ,19:22,3:40,2:50,28,12,2 ,8.08,
Brady Tkachuk                                                 ,Ottawa       ,LW/RW  ,28,12,20,32,21 ,8  ,3   ,3    ,6  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,140,8.6 ,122,5 ,7 ,0   ,10,4 ,0,0 ,0 ,0 ,0 ,0 ,18:36,3:33,0:38,35,14,5 ,8.57,
Sean Monahan                                                  ,Calgary      ,C      ,29,15,16,31,14 ,16 ,3   ,5    ,8  ,0  ,0  ,0  ,3   ,0 ,1 ,0 ,81 ,18.5,42 ,10,18,0.64,23,8 ,0,0 ,0 ,0 ,0 ,0 ,19:34,2:53,3:17,33,19,1 ,7.59,
