No Name GP G A P +/- PIM SOG Pct AvR 
33 Olivier Rodrigue 23 0 0 0 0 0 0 - 7.48 
35 Stuart Skinner 8 0 0 0 0 0 0 - 7.00 
34 Nicolas Beaudin 7 0 0 0 2 4 13 0.0 7.14 
77 Oscar Klefbom 30 2 11 13 3 4 80 2.5 7.77 
25 Darnell Nurse 27 0 5 5 6 6 26 0.0 7.04 
4 Jeremie Poirier 19 0 4 4 5 10 26 0.0 7.16 
2 Jonas Siegenthaler 7 0 0 0 -8 6 10 0.0 6.57 
52 Mike Green 27 1 4 5 4 6 23 4.3 7.00 
6 Connor Murphy 11 0 1 1 -3 0 10 0.0 6.82 
5 Matt Niskanen 30 2 13 15 11 8 57 3.5 7.60 
36 Joel Persson 22 3 9 12 0 2 34 8.8 7.27 
29 Leon Draisaitl 30 9 9 18 11 14 68 13.2 7.67 
22 Anthony Cirelli 29 3 7 10 7 16 22 13.6 6.59 
97 Connor McDavid 30 11 15 26 15 12 79 13.9 7.53 
93 Ryan Nugent-Hopkins 30 11 9 20 -8 16 48 22.9 6.87 
18 Josh Anderson 27 11 7 18 12 45 72 15.3 7.63 
29 Regan Cicchillo 0 0 0 0 0 0 0 - ---- 
10 Brett Connolly 30 5 9 14 -1 6 88 5.7 7.13 
69 Mathieu Joseph 30 4 7 11 4 14 31 12.9 7.10 
19 Vitali Kravtsov 29 5 3 8 5 26 35 14.3 7.03 
23 Jasse Martikainen 27 2 4 6 -5 4 23 8.7 6.63 
